ID, Edges
United States,114
Canada,111
France,107
Australia,93
New Zealand,92
Turkey,92
Denmark,91
Belgium,91
United Kingdom,84
India,80
Albania,79
Norway,78
Spain,78
Bulgaria,78
Luxembourg,78
