ID, Edges
Lithuania,123
Sweden,141
Russia,87
Denmark,237
Hungary,130
Croatia,183
Serbia,33
Albania,191
France,361
Greece,258
Italy,401
Poland,190
Romania,320
United Kingdom,363
Australia,405
