Source,Target,Type,Id,Label,timeset,Weight,1,2,3,5,6
Ottoman Empire,Montenegro,Undirected,1126,,,6,-,"1914  ","1918  ","World War I  ",5
Ottoman Empire,Egypt,Undirected,1124,,,2,-,"1839  ","1841  ","Egyptian–Ottoman War (1839–41)  ",1
Ottoman Empire,Kingdom of the Netherlands,Undirected,1123,,,1,-,"1815  ","1815  ","Second Barbary War  ",0
Ottoman Empire,United States,Undirected,1116,,,3,-,"1914  ","1918  ","World War I  ",2
Ottoman Empire,Albania,Undirected,1106,,,10,-,"1914  ","1918  ","World War I  ",9
Ottoman Empire,Russia,Undirected,1088,,,18,-,"1919  ","1922(Armistice)1923(Treaty)  ","Turkish War of Independence  ",17
Ottoman Empire,Bulgaria,Undirected,1073,,,12,-,"1913  ","1913  ","Second Balkan War  ",11
Ottoman Empire,Serbia,Undirected,1061,,,12,-,"1914  ","1918  ","World War I  ",11
Ottoman Empire,Malta,Undirected,1057,,,4,-,"1714  ","1718  ","Ottoman–Venetian War (1714–18)  ",3
Ottoman Empire,Austria,Undirected,1052,,,5,-,"1787  ","1791  ","Austro-Turkish War (1787–91)  ",4
Ottoman Empire,Spain,Undirected,1044,,,8,-,"1792  ","1797  ","War of the First CoalitionPart of the French Revolutionary Wars  ",7
Ottoman Empire,Ethiopia,Undirected,1042,,,2,-,"1538  ","1557  ","Ottoman–Portuguese conflicts (1538–57)  ",1
Ottoman Empire,Croatia,Undirected,1037,,,3,-,"1683  ","1699  ","Great Turkish War  ",2
Ottoman Empire,Hungary,Undirected,1033,,,4,-,"1683  ","1699  ","Great Turkish War  ",3
Spain,Libya,Undirected,1539,,,1,-,"2011  ","2011  ","Libyan Civil War (2011)  ",0
Spain,Iran,Undirected,1535,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Spain,Pakistan,Undirected,1528,,,3,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Spain,Yemen,Undirected,1515,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
Spain,North Korea,Undirected,1300,,,1,-,"1955  ","1975  ","Vietnam War  ",0
Spain,North Vietnam,Undirected,1297,,,1,-,"1955  ","1975  ","Vietnam War  ",0
Spain,Cuba,Undirected,1293,,,4,-,"1898  ","1898  ","Spanish–American War  ",3
Spain,Ecuador,Undirected,1292,,,1,-,"1864  ","1866  ","Chincha Islands War  ",0
Spain,Dominica,Undirected,1291,,,1,-,"1863  ","1865  ","Dominican Restoration War  ",0
Spain,Morocco,Undirected,1287,,,4,-,"2002  ","2002  ","Perejil Island crisis  ",3
Spain,Peru,Undirected,1285,,,2,-,"1864  ","1866  ","Chincha Islands War  ",1
Spain,Colombia,Undirected,1280,,,2,-,"1811  ","1824  ","Peruvian War of Independence Part of the Spanish American wars of independence  ",1
Spain,Venezuela,Undirected,1279,,,1,-,"1811  ","1823  ","Venezuelan War of Independence Part of the Spanish American wars of independence  ",0
Spain,Chile,Undirected,1263,,,4,-,"1864  ","1866  ","Chincha Islands War  ",3
Spain,Argentina,Undirected,1260,,,3,-,"1811  ","1824  ","Peruvian War of Independence Part of the Spanish American wars of independence  ",2
Spain,Bolivia,Undirected,1258,,,2,-,"1864  ","1866  ","Chincha Islands War  ",1
Spain,French Empire,Undirected,1256,,,2,-,"1815  ","1815  ","Hundred DaysWar of the Seventh Coalition  ",1
Spain,Serbia,Undirected,1213,,,1,-,"1530  ","1552  ","Little War in HungaryPart of the Ottoman–Habsburg wars  ",0
France,Belarus,Undirected,2027,,,1,-,"2002  ","2007  ","First Ivorian Civil War  ",0
France,Pakistan,Undirected,2022,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
France,Yemen,Undirected,2016,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
France,Nepal,Undirected,1972,,,1,-,"1996  ","2006  ","Nepalese Civil War  ",0
France,Libya,Undirected,1967,,,3,-,"2011  ","2011  ","Libyan Civil War (2011)  ",2
France,Democratic Republic of the Congo,Undirected,1966,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,Mali,Undirected,1960,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,Guinea,Undirected,1959,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,Republic of Ireland,Undirected,1958,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,Ghana,Undirected,1957,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,Republic of the Congo,Undirected,1956,,,1,-,"1960  ","1965  ","Congo Crisis  ",0
France,North Korea,Undirected,1949,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
France,Viet Minh,Undirected,1948,,,1,-,"1945  ","1946  ","War in Vietnam (1945–46)  ",0
France,Chile,Undirected,1947,,,1,-,"1939  ","1945  ","World War II  ",0
France,Liberia,Undirected,1906,,,6,-,"2010  ","2011  ","2010–2011 Ivorian crisis   Second Ivorian Civil War     ",5
France,Iraq,Undirected,1831,,,7,-,"2009  ","Ongoing  ","Boko Haram insurgency  ",6
France,Tunisia,Undirected,1680,,,3,-,"1961  ","1961  ","Bizerte crisis  ",2
France,Morocco,Undirected,1676,,,4,-,"1960  ","1965  ","Congo Crisis  ",3
France,Algeria,Undirected,1674,,,2,-,"1975  ","1991  ","Western Sahara War Part of the Western Sahara conflict  ",1
France,French Empire,Undirected,1622,,,3,-,"1815  ","1815  ","Hundred DaysWar of the Seventh Coalition  ",2
France,Russia,Undirected,1583,,,12,-,"2002  ","2007  ","First Ivorian Civil War  ",11
India,Yemen,Undirected,2242,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
India,North Korea,Undirected,2218,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
India,Pakistan,Undirected,2209,,,9,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",8
India,Iran,Undirected,2190,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
India,Cuba,Undirected,2178,,,2,-,"1960  ","1965  ","Congo Crisis  ",1
India,Iraq,Undirected,2153,,,3,-,"1941  ","1941  ","Anglo-Iraqi WarPart of World War II  ",2
India,Nepal,Undirected,2048,,,3,-,"1996  ","2006  ","Nepalese Civil War  ",2
India,India,Undirected,2034,,,7,-,"1967  ","Ongoing  ","Naxalite–Maoist insurgency  ",6
India,Cambodia,Undirected,2033,,,1,-,"1643  ","1644  ","Cambodian–Dutch War  ",0
Hungary,Pakistan,Undirected,2455,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Hungary,Thailand,Undirected,2401,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
Hungary,Chile,Undirected,2392,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Argentina,Undirected,2391,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Saudi Arabia,Undirected,2390,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Syria,Undirected,2389,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Lebanon,Undirected,2388,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Egypt,Undirected,2387,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Venezuela,Undirected,2380,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Uruguay,Undirected,2379,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Paraguay,Undirected,2378,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Ecuador,Undirected,2377,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,San Marino,Undirected,2376,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Peru,Undirected,2366,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Liberia,Undirected,2365,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Iran,Undirected,2363,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Hungary,Colombia,Undirected,2361,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Hungary,Bolivia,Undirected,2360,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Iraq,Undirected,2359,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Ethiopia,Undirected,2357,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Hungary,Brazil,Undirected,2356,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Mexico,Undirected,2355,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Philippines,Undirected,2353,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Hungary,Cuba,Undirected,2352,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Guatemala,Undirected,2351,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Nicaragua,Undirected,2346,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Honduras,Undirected,2345,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Haiti,Undirected,2344,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Dominica,Undirected,2340,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Costa Rica,Undirected,2339,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Panama,Undirected,2338,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,British Empire,Undirected,2317,,,1,-,"1939  ","1945  ","World War II  ",0
Hungary,Russia,Undirected,2283,,,2,-,"1848  ","1849  ","Hungarian War of Independence  ",1
Slovenia,Iran,Undirected,2556,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Slovenia,Pakistan,Undirected,2555,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Poland,Pakistan,Undirected,2756,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Poland,Iran,Undirected,2690,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Poland,Colombia,Undirected,2688,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Poland,Ethiopia,Undirected,2685,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Poland,Philippines,Undirected,2681,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Poland,Thailand,Undirected,2644,,,2,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Poland,Japan,Undirected,2618,,,1,-,"1939  ","1945  ","World War II  ",0
Poland,Russia,Undirected,2558,,,4,-,"1919  ","1921  ","Polish–Soviet War  ",3
Poland,Poland,Undirected,2557,,,1,-,"1733  ","1738  ","War of the Polish Succession  ",0
Croatia,Pakistan,Undirected,2954,,,2,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",1
Croatia,Chile,Undirected,2862,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Argentina,Undirected,2861,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Saudi Arabia,Undirected,2860,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Syria,Undirected,2859,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Lebanon,Undirected,2858,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Egypt,Undirected,2857,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Venezuela,Undirected,2849,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Uruguay,Undirected,2848,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Paraguay,Undirected,2847,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Ecuador,Undirected,2846,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,San Marino,Undirected,2845,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Peru,Undirected,2826,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Liberia,Undirected,2825,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Iran,Undirected,2822,,,3,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Croatia,Colombia,Undirected,2821,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Bolivia,Undirected,2820,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Iraq,Undirected,2819,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Ethiopia,Undirected,2818,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Brazil,Undirected,2817,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Mexico,Undirected,2816,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Philippines,Undirected,2815,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Cuba,Undirected,2814,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Guatemala,Undirected,2813,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Nicaragua,Undirected,2808,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Honduras,Undirected,2807,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Haiti,Undirected,2806,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Dominica,Undirected,2801,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Costa Rica,Undirected,2800,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Panama,Undirected,2799,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,Soviet Union,Undirected,2798,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,China,Undirected,2785,,,1,-,"1939  ","1945  ","World War II  ",0
Croatia,British Empire,Undirected,2780,,,1,-,"1939  ","1945  ","World War II  ",0
Austria,Iran,Undirected,3072,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Austria,Pakistan,Undirected,3071,,,1,-,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",0
Austria,Austria,Undirected,2989,,,2,-,"1934  ","1934  ","July Putsch  ",1
Austria,China,Undirected,2985,,,1,-,"1899  ","1901  ","Boxer Rebellion  ",0
Austria,Egypt,Undirected,2981,,,1,-,"1839  ","1841  ","Egyptian–Ottoman War (1839–41)  ",0
Austria,French Empire,Undirected,2959,,,4,-,"1859  ","1859  ","Second Italian War of Independence  ",3
Austria,Serbia,Undirected,2956,,,3,-,"1807  ","1807  ","Tican's rebellion  ",2
Ethiopia,Yemen,Undirected,3208,,,1,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",0
Ethiopia,Eritrea,Undirected,3204,,,4,-,"2006  ","2009  ","War in Somalia (2006–09)Part of the Somali Civil War  ",3
Ethiopia,North Korea,Undirected,3175,,,1,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",0
Ethiopia,Iraq,Undirected,3101,,,3,-,"1991  ","Ongoing  ","Somali Civil War  ",2
Ethiopia,Finland,Undirected,3100,,,1,-,"1939  ","1945  ","World War II  ",0
Ethiopia,Slovakia,Undirected,3094,,,1,-,"1939  ","1945  ","World War II  ",0
Ethiopia,Romania,Undirected,3091,,,3,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",2
Ethiopia,Bulgaria,Undirected,3088,,,3,-,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",2
Serbia,Bosnia and Herzegovina,Undirected,3277,,,1,-,"1991  ","1995  ","Croatian War of Independence  ",0
Serbia,Latvia,Undirected,3276,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Serbia,Estonia,Undirected,3275,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Serbia,Finland,Undirected,3274,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Serbia,Mongolia,Undirected,3273,,,1,-,"1917  ","1922  ","Russian Civil War  ",0
Serbia,Armenia,Undirected,3270,,,2,-,"1917  ","1922  ","Russian Civil War  ",1
Serbia,Macedonia,Undirected,3259,,,2,-,"1913  ","1913  ","Ohrid–Debar Uprising  ",1
Serbia,Bulgaria,Undirected,3252,,,4,-,"1914  ","1918  ","World War I  ",3
Serbia,French Empire,Undirected,3246,,,1,-,"1804  ","1813  ","First Serbian UprisingPart of the Serbian Revolution  ",0
Serbia,Russia,Undirected,3240,,,4,-,"1917  ","1922  ","Russian Civil War  ",3
Mexico,Guatemala,Undirected,3314,,,2,-,"1958  ","1959  ","Mexico–Guatemala conflict  ",1
Mexico,Thailand,Undirected,3298,,,1,-,"1939  ","1945  ","World War II  ",0
Mexico,Finland,Undirected,3295,,,1,-,"1939  ","1945  ","World War II  ",0
Mexico,Slovakia,Undirected,3292,,,1,-,"1939  ","1945  ","World War II  ",0
Mexico,Japan,Undirected,3287,,,1,-,"1939  ","1945  ","World War II  ",0
Mexico,Germany,Undirected,3285,,,2,-,"1939  ","1945  ","World War II  ",1
United States,Uzbekistan,Undirected,3715,,,2,-,"2004  ","Ongoing  ","War in North-West Pakistan  ",1
United States,Yemen,Undirected,3661,,,7,-,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",6
United States,Pakistan,Undirected,3656,,,5,-,"2004  ","Ongoing  ","War in North-West Pakistan  ",4
United States,Nepal,Undirected,3651,,,1,-,"1996  ","2006  ","Nepalese Civil War  ",0
United States,Grenada,Undirected,3638,,,1,-,"1983  ","1983  ","Invasion of Grenada  ",0
United States,Laos,Undirected,3637,,,1,-,"1975  ","Ongoing  ","Insurgency in Laos  ",0
United States,Vietnam,Undirected,3627,,,3,-,"1975  ","Ongoing  ","Insurgency in Laos  ",2
United States,Libya,Undirected,3625,,,2,-,"2011  ","2011  ","Libyan Civil War (2011)  ",1
United States,People's Republic of China,Undirected,3624,,,1,-,"1969  ","Ongoing  ","Insurgency of the Communist Party of the Philippines  ",0
United States,Sudan,Undirected,3615,,,3,-,"2003  ","Ongoing  ","War in Darfur  ",2
United States,North Vietnam,Undirected,3603,,,3,-,"1967  ","1975  ","Cambodian Civil War  ",2
United States,North Korea,Undirected,3593,,,4,-,"1969  ","Ongoing  ","Insurgency of the Communist Party of the Philippines  ",3
United States,Viet Minh,Undirected,3592,,,1,-,"1946  ","1955  ","First Indochina War Indochina Wars  ",0
United States,Cuba,Undirected,3545,,,4,-,"1983  ","1983  ","Invasion of Grenada  ",3
United States,Panama,Undirected,3537,,,2,-,"1989  ","1990  ","United States invasion of Panama  ",1
United States,Soviet Union,Undirected,3531,,,6,-,"1975  ","2002  ","Angolan Civil War  ",5
United States,Iraq,Undirected,3512,,,10,-,"2009  ","Ongoing  ","Boko Haram insurgency  ",9
United States,Russia,Undirected,3397,,,5,-,"2003  ","Ongoing  ","War in Darfur  ",4
United States,United States,Undirected,3388,,,1,-,"1887  ","1895  ","Hawaiian rebellions (1887–95)  ",0
