SourceID,TargetID,relation,year_start,year_end
Denmark,South Korea,+,2001,Ongoing
Denmark,South Korea,+,2002,Ongoing
Denmark,South Korea,+,2002,Ongoing
Denmark,United Kingdom,+,1950,1953
Denmark,United Kingdom,+,2001,Ongoing
Denmark,United Kingdom,+,2001,Ongoing
Denmark,United Kingdom,+,2002,Ongoing
Denmark,United Kingdom,+,2002,Ongoing
Denmark,United Kingdom,+,2002,Ongoing
Denmark,United Kingdom,+,2011,2011
Denmark,Greece,+,1950,1953
Denmark,Greece,+,2001,Ongoing
Denmark,Greece,+,2002,Ongoing
Denmark,Greece,+,2002,Ongoing
Denmark,Greece,+,2011,2011
Denmark,India,+,1950,1953
Denmark,India,+,2002,Ongoing
Denmark,India,+,2002,Ongoing
Denmark,Italy,+,1950,1953
Denmark,Italy,+,2001,Ongoing
Denmark,Italy,+,2001,Ongoing
Denmark,Italy,+,2002,Ongoing
Denmark,Italy,+,2002,Ongoing
Denmark,Italy,+,2002,Ongoing
Denmark,Italy,+,2011,2011
Denmark,Armenia,+,2001,Ongoing
Denmark,Armenia,+,2002,Ongoing
Denmark,Austria,+,2001,Ongoing
Denmark,Austria,+,2002,Ongoing
Denmark,Azerbaijan,+,2001,Ongoing
Denmark,Azerbaijan,+,2002,Ongoing
Denmark,Azerbaijan,+,2002,Ongoing
Denmark,Bahrain,+,2001,Ongoing
Denmark,Bahrain,+,2002,Ongoing
Denmark,Bosnia and Herzegovina,+,2001,Ongoing
Denmark,Bosnia and Herzegovina,+,2002,Ongoing
Denmark,Croatia,+,2001,Ongoing
Denmark,Croatia,+,2002,Ongoing
Denmark,Croatia,+,2002,Ongoing
Denmark,Czech Republic,+,2001,Ongoing
Denmark,Czech Republic,+,2001,Ongoing
Denmark,Czech Republic,+,2002,Ongoing
Denmark,Czech Republic,+,2002,Ongoing
Denmark,Estonia,+,2001,Ongoing
Denmark,Estonia,+,2002,Ongoing
Denmark,Georgia,+,2001,Ongoing
Denmark,Georgia,+,2001,Ongoing
Denmark,Georgia,+,2002,Ongoing
Denmark,Georgia,+,2002,Ongoing
Denmark,Germany,+,2001,Ongoing
Denmark,Germany,+,2001,Ongoing
Denmark,Germany,+,2002,Ongoing
Denmark,Germany,+,2002,Ongoing
Denmark,Germany,+,2002,Ongoing
Denmark,Iceland,+,2001,Ongoing
Denmark,Iceland,+,2002,Ongoing
Denmark,Jordan,+,2001,Ongoing
Denmark,Jordan,+,2002,Ongoing
Denmark,Jordan,+,2011,2011
Denmark,Latvia,+,2001,Ongoing
Denmark,Latvia,+,2002,Ongoing
Denmark,Lithuania,+,2001,Ongoing
Denmark,Lithuania,+,2002,Ongoing
Denmark,Malaysia,+,2001,Ongoing
Denmark,Malaysia,+,2002,Ongoing
Denmark,Malaysia,+,2002,Ongoing
Denmark,Mongolia,+,2001,Ongoing
Denmark,Mongolia,+,2002,Ongoing
Denmark,Montenegro,+,2001,Ongoing
Denmark,Montenegro,+,2002,Ongoing
Denmark,Portugal,+,2001,Ongoing
Denmark,Portugal,+,2002,Ongoing
Denmark,Portugal,+,2002,Ongoing
Denmark,Singapore,+,2001,Ongoing
Denmark,Singapore,+,2002,Ongoing
Denmark,Singapore,+,2002,Ongoing
Denmark,Slovenia,+,2001,Ongoing
Denmark,Slovenia,+,2002,Ongoing
Denmark,Spain,+,2001,Ongoing
Denmark,Spain,+,2001,Ongoing
Denmark,Spain,+,2002,Ongoing
Denmark,Spain,+,2002,Ongoing
Denmark,Spain,+,2002,Ongoing
Denmark,Spain,+,2011,2011
Denmark,Switzerland,+,2001,Ongoing
Denmark,Switzerland,+,2002,Ongoing
Denmark,Tonga,+,2001,Ongoing
Denmark,Tonga,+,2002,Ongoing
Denmark,Ukraine,+,2001,Ongoing
Denmark,Ukraine,+,2002,Ongoing
Denmark,Ukraine,+,2002,Ongoing
Denmark,United Arab Emirates,+,2001,Ongoing
Denmark,United Arab Emirates,+,2002,Ongoing
Denmark,Djibouti,+,2002,Ongoing
Denmark,Somalia,+,2002,Ongoing
Denmark,Sudan,+,2002,Ongoing
Denmark,Seychelles,+,2002,Ongoing
Denmark,Kenya,+,2002,Ongoing
Denmark,Indonesia,+,2002,Ongoing
Denmark,Japan,+,2002,Ongoing
Denmark,Kazakhstan,+,2002,Ongoing
Denmark,Kyrgyzstan,+,2002,Ongoing
Denmark,Pakistan,+,2002,Ongoing
Denmark,Pakistan,-,2002,Ongoing
Denmark,Russia,+,2002,Ongoing
Denmark,Tajikistan,+,2002,Ongoing
Denmark,Turkmenistan,+,2002,Ongoing
Denmark,Uganda,+,2002,Ongoing
Denmark,Afghanistan,+,2002,Ongoing
Denmark,Qatar,+,2011,2011
Norway,Nazi Germany,-,1939,1945
Norway,Kingdom of Italy,-,1939,1945
Norway,Kingdom of Italy,+,1939,1945
Norway,Hungary,-,1939,1945
Norway,Hungary,-,1950,1953
Norway,Hungary,+,2001,Ongoing
Norway,Hungary,+,2002,Ongoing
Norway,Empire of Japan,-,1939,1945
Norway,Bulgaria,-,1939,1945
Norway,Bulgaria,+,1939,1945
Norway,Bulgaria,-,1950,1953
Norway,Bulgaria,+,2001,Ongoing
Norway,Bulgaria,+,2002,Ongoing
Norway,Bulgaria,+,2011,2011
Norway,Slovakia,-,1939,1945
Norway,Slovakia,+,2001,Ongoing
Norway,Slovakia,+,2002,Ongoing
Norway,Finland,-,1939,1945
Norway,Finland,+,2001,Ongoing
Norway,Finland,+,2002,Ongoing
Norway,Thailand,-,1939,1945
Norway,Thailand,+,1950,1953
Norway,Poland,+,1939,1945
Norway,Poland,-,1950,1953
Norway,Poland,+,2001,Ongoing
Norway,Poland,+,2002,Ongoing
Norway,Australia,+,1939,1945
Norway,Australia,+,1950,1953
Norway,Australia,+,2001,Ongoing
Norway,Australia,+,2001,Ongoing
Norway,Australia,+,2002,Ongoing
Norway,Australia,+,2002,Ongoing
Norway,France,+,1939,1945
Norway,France,+,1950,1953
Norway,France,+,2001,Ongoing
Norway,France,+,2002,Ongoing
Norway,France,+,2011,2011
Norway,New Zealand,+,1939,1945
Norway,New Zealand,+,1950,1953
Norway,New Zealand,+,2001,Ongoing
Norway,New Zealand,+,2002,Ongoing
Norway,British Empire,+,1939,1945
Norway,Canada,+,1939,1945
Norway,Canada,+,1950,1953
Norway,Canada,+,2001,Ongoing
Norway,Canada,+,2002,Ongoing
Norway,Canada,+,2011,2011
Norway,Belgium,+,1939,1945
Norway,Belgium,+,1950,1953
Norway,Belgium,+,2001,Ongoing
Norway,Belgium,+,2002,Ongoing
Norway,Belgium,+,2011,2011
Norway,Luxembourg,+,1939,1945
Norway,Luxembourg,+,1950,1953
Norway,Luxembourg,+,2001,Ongoing
Norway,Luxembourg,+,2002,Ongoing
Norway,Soviet Union,+,1939,1945
Norway,Soviet Union,-,1950,1953
Norway,Panama,+,1939,1945
Norway,Costa Rica,+,1939,1945
Norway,Dominican Republic,+,1939,1945
Norway,El Salvador,+,1939,1945
Norway,El Salvador,+,2001,Ongoing
Norway,El Salvador,+,2002,Ongoing
Norway,Haiti,+,1939,1945
Norway,Honduras,+,1939,1945
Norway,Nicaragua,+,1939,1945
Norway,United States,+,1939,1945
Norway,United States,+,1950,1953
Norway,United States,+,2001,Ongoing
Norway,United States,+,2002,Ongoing
Norway,United States,+,2011,2011
Norway,Guatemala,+,1939,1945
Norway,Cuba,+,1939,1945
Norway,Philippines,+,1939,1945
Norway,Philippines,+,1950,1953
Norway,Mexico,+,1939,1945
Norway,Brazil,+,1939,1945
Norway,Ethiopia,+,1939,1945
Norway,Ethiopia,+,1950,1953
Norway,Iraq,+,1939,1945
Norway,Bolivia,+,1939,1945
Norway,Colombia,+,1939,1945
Norway,Colombia,+,1950,1953
Norway,Iran,+,1939,1945
Norway,Iran,-,2002,Ongoing
Norway,Liberia,+,1939,1945
Norway,Peru,+,1939,1945
Norway,Albania,+,1939,1945
Norway,Albania,+,2001,Ongoing
Norway,Albania,+,2002,Ongoing
Norway,Ecuador,+,1939,1945
Norway,Paraguay,+,1939,1945
Norway,Uruguay,+,1939,1945
Norway,Venezuela,+,1939,1945
Norway,Turkey,+,1939,1945
Norway,Turkey,+,1950,1953
Norway,Turkey,+,2001,Ongoing
Norway,Turkey,+,2001,Ongoing
Norway,Turkey,+,2002,Ongoing
Norway,Turkey,+,2002,Ongoing
Norway,Turkey,+,2011,2011
Norway,Egypt,+,1939,1945
Norway,Egypt,-,1969,Ongoing
Norway,Lebanon,+,1939,1945
Norway,Syria,+,1939,1945
Norway,Saudi Arabia,+,1939,1945
Norway,Argentina,+,1939,1945
Norway,North Korea,-,1950,1953
Norway,Romania,-,1950,1953
Norway,Romania,+,2001,Ongoing
Norway,Romania,+,2001,Ongoing
Norway,Romania,+,2002,Ongoing
Norway,Romania,+,2002,Ongoing
Norway,Romania,+,2011,2011
Norway,South Korea,+,1950,1953
Norway,South Korea,+,2001,Ongoing
Norway,South Korea,+,2002,Ongoing
Norway,United Kingdom,+,1950,1953
Norway,United Kingdom,+,2001,Ongoing
Norway,United Kingdom,+,2001,Ongoing
Norway,United Kingdom,+,2002,Ongoing
Norway,United Kingdom,+,2002,Ongoing
Norway,United Kingdom,+,2011,2011
Norway,Greece,+,1950,1953
Norway,Greece,+,2001,Ongoing
Norway,Greece,+,2002,Ongoing
Norway,Greece,+,2011,2011
Norway,India,+,1950,1953
Norway,India,+,2002,Ongoing
Norway,Italy,+,1950,1953
Norway,Italy,+,2001,Ongoing
Norway,Italy,+,2001,Ongoing
Norway,Italy,+,2002,Ongoing
Norway,Italy,+,2002,Ongoing
Norway,Italy,+,2011,2011
Norway,Libya,-,1969,Ongoing
Norway,Malaysia,-,1969,Ongoing
Norway,Malaysia,+,2001,Ongoing
Norway,Malaysia,+,2002,Ongoing
Norway,Armenia,+,2001,Ongoing
Norway,Armenia,+,2002,Ongoing
Norway,Austria,+,2001,Ongoing
Norway,Austria,+,2002,Ongoing
Norway,Azerbaijan,+,2001,Ongoing
Norway,Azerbaijan,+,2002,Ongoing
Norway,Bahrain,+,2001,Ongoing
Norway,Bahrain,+,2002,Ongoing
Norway,Bosnia and Herzegovina,+,2001,Ongoing
Norway,Bosnia and Herzegovina,+,2002,Ongoing
Norway,Croatia,+,2001,Ongoing
Norway,Croatia,+,2002,Ongoing
Norway,Croatia,+,2002,Ongoing
Norway,Czech Republic,+,2001,Ongoing
Norway,Czech Republic,+,2001,Ongoing
Norway,Czech Republic,+,2002,Ongoing
Norway,Czech Republic,+,2002,Ongoing
Norway,Estonia,+,2001,Ongoing
Norway,Estonia,+,2002,Ongoing
Norway,Georgia,+,2001,Ongoing
Norway,Georgia,+,2001,Ongoing
Norway,Georgia,+,2002,Ongoing
Norway,Georgia,+,2002,Ongoing
Norway,Germany,+,2001,Ongoing
Norway,Germany,+,2001,Ongoing
Norway,Germany,+,2002,Ongoing
Norway,Germany,+,2002,Ongoing
Norway,Iceland,+,2001,Ongoing
Norway,Iceland,+,2002,Ongoing
Norway,Jordan,+,2001,Ongoing
Norway,Jordan,+,2002,Ongoing
Norway,Jordan,+,2011,2011
Norway,Latvia,+,2001,Ongoing
Norway,Latvia,+,2002,Ongoing
Norway,Lithuania,+,2001,Ongoing
Norway,Lithuania,+,2002,Ongoing
Norway,Mongolia,+,2001,Ongoing
Norway,Mongolia,+,2002,Ongoing
Norway,Montenegro,+,2001,Ongoing
Norway,Montenegro,+,2002,Ongoing
Norway,Portugal,+,2001,Ongoing
Norway,Portugal,+,2002,Ongoing
Norway,Singapore,+,2001,Ongoing
Norway,Singapore,+,2002,Ongoing
Norway,Slovenia,+,2001,Ongoing
Norway,Slovenia,+,2002,Ongoing
Norway,Spain,+,2001,Ongoing
Norway,Spain,+,2001,Ongoing
Norway,Spain,+,2002,Ongoing
Norway,Spain,+,2002,Ongoing
Norway,Spain,+,2011,2011
Norway,Switzerland,+,2001,Ongoing
Norway,Switzerland,+,2002,Ongoing
Norway,Tonga,+,2001,Ongoing
Norway,Tonga,+,2002,Ongoing
Norway,Ukraine,+,2001,Ongoing
Norway,Ukraine,+,2002,Ongoing
Norway,United Arab Emirates,+,2001,Ongoing
Norway,United Arab Emirates,+,2002,Ongoing
Norway,Pakistan,-,2002,Ongoing
Norway,Afghanistan,+,2002,Ongoing
Norway,Qatar,+,2011,2011
Portugal,Ottoman Empire,-,1505,1517
Portugal,Ottoman Empire,-,1714,1718
Portugal,France,-,1756,1763
Portugal,France,-,1762,1763
Portugal,France,-,1803,1806
Portugal,France,-,1936,1939
Portugal,France,+,2001,Ongoing
Portugal,France,+,2002,Ongoing
Portugal,France,+,2002,Ongoing
Portugal,Austria,-,1756,1763
Portugal,Austria,+,2001,Ongoing
Portugal,Austria,+,2002,Ongoing
Portugal,Russia,-,1756,1763
Portugal,Russia,+,2002,Ongoing
Portugal,Spain,-,1762,1763
Portugal,Spain,-,1792,1797
Portugal,Spain,-,1798,1802
Portugal,Spain,-,1803,1806
Portugal,Spain,+,2001,Ongoing
Portugal,Spain,+,2001,Ongoing
Portugal,Spain,+,2002,Ongoing
Portugal,Spain,+,2002,Ongoing
Portugal,Spain,+,2002,Ongoing
Portugal,Italy,-,1803,1806
Portugal,Italy,+,2001,Ongoing
Portugal,Italy,+,2001,Ongoing
Portugal,Italy,+,2002,Ongoing
Portugal,Italy,+,2002,Ongoing
Portugal,Italy,+,2002,Ongoing
Portugal,Russian Empire,+,1803,1806
Portugal,United Kingdom,+,1803,1806
Portugal,United Kingdom,+,2001,Ongoing
Portugal,United Kingdom,+,2001,Ongoing
Portugal,United Kingdom,+,2002,Ongoing
Portugal,United Kingdom,+,2002,Ongoing
Portugal,United Kingdom,+,2002,Ongoing
Portugal,French Empire,-,1807,1814
Portugal,Soviet Union,-,1936,1939
Portugal,Mexico,-,1936,1939
Portugal,India,-,1954,1954
Portugal,India,-,1961,1961
Portugal,India,+,2002,Ongoing
Portugal,India,+,2002,Ongoing
Portugal,United States,-,1975,2002
Portugal,United States,+,2001,Ongoing
Portugal,United States,+,2002,Ongoing
Portugal,United States,+,2002,Ongoing
Portugal,Indonesia,-,1996,2006
Portugal,Indonesia,+,2002,Ongoing
Portugal,Albania,+,2001,Ongoing
Portugal,Albania,+,2002,Ongoing
Portugal,Armenia,+,2001,Ongoing
Portugal,Armenia,+,2002,Ongoing
Portugal,Australia,+,2001,Ongoing
Portugal,Australia,+,2001,Ongoing
Portugal,Australia,+,2002,Ongoing
Portugal,Australia,+,2002,Ongoing
Portugal,Australia,+,2002,Ongoing
Portugal,Azerbaijan,+,2001,Ongoing
Portugal,Azerbaijan,+,2002,Ongoing
Portugal,Azerbaijan,+,2002,Ongoing
Portugal,Bahrain,+,2001,Ongoing
Portugal,Bahrain,+,2002,Ongoing
Portugal,Belgium,+,2001,Ongoing
Portugal,Belgium,+,2002,Ongoing
Portugal,Belgium,+,2002,Ongoing
Portugal,Bosnia and Herzegovina,+,2001,Ongoing
Portugal,Bosnia and Herzegovina,+,2002,Ongoing
Portugal,Bulgaria,+,2001,Ongoing
Portugal,Bulgaria,+,2002,Ongoing
Portugal,Canada,+,2001,Ongoing
Portugal,Canada,+,2002,Ongoing
Portugal,Canada,+,2002,Ongoing
Portugal,Croatia,+,2001,Ongoing
Portugal,Croatia,+,2002,Ongoing
Portugal,Croatia,+,2002,Ongoing
Portugal,Czech Republic,+,2001,Ongoing
Portugal,Czech Republic,+,2001,Ongoing
Portugal,Czech Republic,+,2002,Ongoing
Portugal,Czech Republic,+,2002,Ongoing
Portugal,El Salvador,+,2001,Ongoing
Portugal,El Salvador,+,2002,Ongoing
Portugal,Estonia,+,2001,Ongoing
Portugal,Estonia,+,2002,Ongoing
Portugal,Finland,+,2001,Ongoing
Portugal,Finland,+,2002,Ongoing
Portugal,Georgia,+,2001,Ongoing
Portugal,Georgia,+,2001,Ongoing
Portugal,Georgia,+,2002,Ongoing
Portugal,Georgia,+,2002,Ongoing
Portugal,Germany,+,2001,Ongoing
Portugal,Germany,+,2001,Ongoing
Portugal,Germany,+,2002,Ongoing
