id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
40000000600	40	MARCELO RAMOS RODRIGUES	AM	PSB	PARTIDO ISOLADO	PSB	NÃO ELEITO	1	179758	Governador
40000000711	50	ABEL RODRIGUES ALVES	AM	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	8448	Governador
40000000880	33	MARCO ANTÔNIO SOUZA RIBEIRO DA COSTA	AM	PMN	PARTIDO ISOLADO	PMN	NÃO ELEITO	1	29499	Governador
50000000001	16	RENATA MALLET GUENA	BA	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	16788	Governador
50000000007	50	MARCOS ANTONIO GUIMARÃES MENDES	BA	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	50891	Governador
50000000176	40	LIDICE DA MATA E SOUZA	BA	PSB	UM NOVO CAMINHO PARA  A BAHIA	PSB / PSL / PPL	NÃO ELEITO	1	432379	Governador
50000000401	13	RUI COSTA DOS SANTOS	BA	PT	PRA BAHIA MUDAR MAIS	PT / PP / PSD / PDT / PR / PC do B / PTB / PMN	ELEITO	1	3558975	Governador
50000000620	25	PAULO GANEM SOUTO	BA	DEM	UNIDOS PELA BAHIA	DEM / PSDB / PMDB / SD / PTN / PROS / PRB / PSC / PTC / PV / PPS / PRP / PT do B / PSDC	NÃO ELEITO	1	2440409	Governador
60000000093	40	ELIANE NOVAES ELEUTERIO TEIXEIRA	CE	PSB	PARTIDO ISOLADO	PSB	NÃO ELEITO	1	144507	Governador
60000000377	50	AILTON CLAECIO LOPES DANTAS	CE	PSOL	FRENTE DE ESQUERDA SOCIALISTA	PSTU / PCB / PSOL	NÃO ELEITO	1	102394	Governador
60000000603	15	EUNÍCIO LOPES DE OLIVEIRA	CE	PMDB	CEARÁ DE TODOS	PMDB / PSC / DEM / PSDC / PRP / PSDB / PR / PTN / PPS	2º TURNO	1	1979499	Governador
60000000603	15	EUNÍCIO LOPES DE OLIVEIRA	CE	PMDB	CEARÁ DE TODOS	PMDB / PSC / DEM / PSDC / PRP / PSDB / PR / PTN / PPS	NÃO ELEITO	2	2113940	Governador
60000000764	13	CAMILO SOBREIRA DE SANTANA	CE	PT	PARA O CEARA SEGUIR MUDANDO	PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PEN / PPL / PSD / PC do B / PT do B / SD / PROS	2º TURNO	1	2039233	Governador
60000000764	13	CAMILO SOBREIRA DE SANTANA	CE	PT	PARA O CEARA SEGUIR MUDANDO	PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PEN / PPL / PSD / PC do B / PT do B / SD / PROS	ELEITO	2	2417668	Governador
70000000167	50	ANTÔNIO CARLOS DE ANDRADE	DF	PSOL	FRENTE DE ESQUERDA	PSOL / PSTU / PCB	NÃO ELEITO	1	34689	Governador
