id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
100000000379	151	GASTÃO DIAS VIEIRA	MA	PMDB	PRA FRENTE MARANHÃO	PMDB / PSL / PEN / PSDC / PRP / PTN / PMN / PSC / PHS / PRTB / PR / PRB / DEM / PSD / PV / PT / PTB / PT do B	NÃO ELEITO	1	1283296	Senador
100000000536	212	EVANDNILSON CONCEIÇÃO DE ANDRADE	MA	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	6382	Senador
110000000029	500	GILBERTO LOPES FILHO	MT	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	16229	Senador
110000000159	555	RUI CARLOS OTTONI PRADO	MT	PSD	VIVA MATO GROSSO I	PSD / PTC / PTN / PEN / PRTB / SD	NÃO ELEITO	1	137380	Senador
110000000293	222	WELLINGTON ANTONIO FAGUNDES	MT	PR	AMOR A NOSSA GENTE	PT / PMDB / PROS / PR / PC do B	ELEITO	1	646344	Senador
110000000542	456	JOSE ROGÉRIO SALLES	MT	PSDB	CORAGEM E ATITUDE PRA MUDAR	PDT / PP / DEM / PSDB / PSB / PPS / PV / PTB / PSDC / PSC / PRP / PSL / PRB	NÃO ELEITO	1	541357	Senador
120000000003	167	VALDEMIR CASSIMIRO DE SOUZA	MS	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	1435	Senador
120000000085	555	ANTONIO JOAO HUGO RODRIGUES	MS	PSD	NOVO TEMPO	PSDB / DEM / PSD / SD / PPS / PMN	NÃO ELEITO	1	86971	Senador
120000000278	151	SIMONE NASSAR TEBET	MS	PMDB	MS CADA VEZ MELHOR	PMDB / PSB / PT do B / PSC / PHS / PRB / PRTB / PTN / PEN	ELEITO	1	640336	Senador
120000000285	133	RICARDO AYACHE	MS	PT	MATO GROSSO DO SUL COM A FORÇA DE TODOS	PDT / PT / PSL / PR / PSDC / PV / PROS / PC do B / PTB / PTC / PPL / PRP	NÃO ELEITO	1	281022	Senador
120000000440	111	ALCIDES JESUS PERALTA BERNAL	MS	PP	PARTIDO ISOLADO	PP	NÃO ELEITO	1	204262	Senador
120000000483	500	LUCIEN ROBERTO GARCIA DE REZENDE	MS	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	3056	Senador
130000000295	161	GERALDO DE ARAÚJO SILVA	MG	PSTU	FRENTE DE ESQUERDA SOCIALISTA	PSTU / PSOL	NÃO ELEITO	1	24676	Senador
